Code,Identifier,Date_of_Pu_measurement,Terrestrial_density_of_soil_contamination_with_238Pu_kBq_m-2,Relative_uncertainty_238Pu_%,Terrestrial_density_of_soil_contamination_with_239_240Pu_kBq_m-2,Relative_uncertainty_239_240Pu_%
155,212,23-Aug-99,4.93E+00,7,1.08E+01,11
157,214,23-Aug-99,6.08E+00,6,1.28E+01,10
160,217,23-Aug-99,9.59E+00,6,1.70E+01,10
161,218,23-Aug-99,4.26E+00,6,9.10E+00,11
162,219,23-Aug-99,6.33E+00,6,1.41E+01,10
163,220,23-Aug-99,1.06E+01,5,2.20E+01,7
247,307,23-Aug-99,2.42E+00,10,5.77E+00,19
264,326,25-Aug-99,2.02E+00,7,4.29E+00,10
394,458,25-Aug-99,7.09E+00,7,1.53E+01,12
404,470,25-Aug-99,6.00E-01,13,1.40E+00,14
406,472,25-Aug-99,3.31E+00,7,6.62E+00,12
417,483,25-Aug-99,1.72E+01,5,3.41E+01,6
418,484,25-Aug-99,1.05E+01,5,2.24E+01,9
421,487,12-Sep-99,5.61E+01,6,1.55E+02,10
449,515,12-Sep-99,1.13E+01,5,2.20E+01,7
465,533,12-Sep-99,3.39E+01,9,8.02E+01,16
481,549,12-Sep-99,3.76E+00,8,8.09E+00,12
482,550,12-Sep-99,8.79E+00,8,2.05E+01,14
508,576,12-Sep-99,1.75E+00,7,3.77E+00,10
511,579,07-Sep-99,1.04E+01,6,2.21E+01,9
512,580,25-Aug-99,5.17E+00,7,1.16E+01,11
551,620,17-Sep-99,1.21E+00,10,2.57E+00,9
552,621,17-Sep-99,3.60E+00,8,7.62E+00,14
553,622,07-Sep-99,6.00E-01,13,1.32E+00,14
554,623,07-Sep-99,2.40E-01,28,7.80E-01,20
569,638,07-Sep-99,9.60E-01,9,1.94E+00,11
570,639,25-Aug-99,6.00E-01,15,1.35E+00,14
571,640,17-Sep-99,9.30E-01,2,1.91E+00,11
572,641,07-Sep-99,1.96E+00,12,3.13E+00,20
573,642,25-Aug-99,9.80E-01,10,1.99E+00,20
574,643,17-Sep-99,1.78E+00,6,1.86E+00,11
575,644,07-Sep-99,4.80E-01,12,9.50E-01,20
576,645,20-Aug-99,8.60E-01,8,1.85E+00,11
641,712,20-Aug-99,3.68E+00,6,9.10E+00,11
642,713,20-Aug-99,1.20E+00,9,2.69E+00,15
657,729,17-Sep-99,1.28E+01,10,2.67E+01,18
662,735,20-Aug-99,4.74E+00,7,1.02E+01,10
788,864,20-Aug-99,1.69E+00,11,3.45E+00,24
999,1083,20-Aug-99,1.11E+01,5,2.46E+01,8
1001,1085,17-Sep-99,1.46E+00,16,4.20E+00,16
1004,1088,20-Aug-99,8.94E+01,5,1.91E+02,6
1018,1102,20-Aug-99,1.67E+01,7,3.34E+01,13
1020,1104,17-Sep-99,1.10E+01,5,1.89E+01,8
1028,1113,17-Sep-99,1.95E+01,5,4.09E+01,6
1029,1114,20-Sep-99,1.11E+01,6,2.12E+01,9
1033,1118,20-Sep-99,4.60E+01,5,9.66E+01,6
1038,1123,20-Sep-99,3.01E+00,10,6.67E+00,13
1093,1180,20-Sep-99,6.00E+00,12,1.13E+01,17
1094,1181,20-Sep-99,5.75E+00,8,1.25E+01,13
1095,1182,20-Sep-99,6.63E+00,13,1.12E+01,18
1129,1217,27-Sep-99,6.27E+01,5,1.35E+02,6
1173,1263,27-Sep-99,6.35E+00,5,1.37E+01,9
1178,1268,27-Sep-99,5.10E+00,7,7.65E+00,12
1179,1269,27-Sep-99,5.78E+00,7,1.24E+01,10
1190,1280,27-Sep-99,1.39E+01,6,3.32E+01,10
1228,1320,27-Sep-99,4.15E+00,8,6.85E+00,12
1256,1_J,27-Dec-99,3.50E-02,40,1.09E-01,20
1257,2_J,27-Dec-99,4.50E-02,49,1.31E-01,29
1258,3_J,27-Dec-99,1.60E-02,19,7.60E-02,17
1259,4-J,29-Dec-99,1.60E-02,31,8.30E-02,19
1260,5_J,29-Dec-99,8.00E-03,50,6.70E-02,12
1261,6_J,29-Dec-99,2.70E-02,22,1.12E-01,12
1262,7_J,29-Dec-99,2.90E-02,86,1.01E-01,48
1263,8_J,29-Dec-99,1.70E-02,35,7.80E-02,15
1264,13_J,29-Dec-99,3.50E-02,71,9.30E-02,63
1265,12_J,30-Dec-99,2.40E-02,25,8.30E-02,22
1266,9_J,30-Dec-99,2.20E-02,36,7.40E-02,23
1267,11_J,30-Dec-99,1.50E-02,47,9.00E-02,7
1268,10_J,30-Dec-99,1.70E-02,35,9.20E-02,11
1269,1P_J,17-Dec-00,3.60E-02,31,1.41E-01,20
1270,3P_J,17-Dec-00,8.00E-03,38,5.80E-02,22
1271,5P_J,17-Dec-00,1.10E-02,27,7.40E-02,23
1272,7P_J,23-Dec-00,2.50E-02,24,1.48E-01,24
1273,9P_J,23-Dec-00,9.00E-03,33,8.60E-02,16
1274,14P_J,23-Dec-00,6.90E-01,28,1.50E+00,30
1275,15P_J,23-Dec-00,2.40E-01,29,6.20E-01,27
1276,16P_J,27-Dec-00,1.07E-01,29,5.00E-01,30
1277,17_J,27-Dec-00,5.10E-02,31,1.50E-01,27
1278,18_J,27-Dec-00,9.00E-02,22,2.33E-01,28
1279,19_J,27-Dec-00,1.70E-02,35,6.90E-02,25
1280,20_J,27-Dec-00,1.50E-02,27,8.00E-02,25
1281,21_J,27-Dec-00,2.10E-02,24,9.50E-02,26
1312,1_J_w,01-Jan-02,1.23E+02,10,2.80E+02,10
1313,2_J_w,01-Jan-02,1.76E+00,16,3.50E+00,16
1314,3_J_w,01-Jan-02,1.35E+00,12,2.74E+00,12
1315,4_J_w,01-Jan-02,1.06E+00,14,2.13E+00,16
1316,5_J_w,01-Jan-02,1.70E-01,10,3.40E-01,10
1317,6_J_w,01-Jan-02,3.60E+01,10,7.40E+01,10
1318,7_J_w,01-Jan-02,5.00E+00,12,1.10E+01,12
1319,8_J_w,01-Jan-02,2.30E+01,10,5.50E+01,10
1320,9_J_w,01-Jan-02,1.80E-01,10,4.30E-01,10
1321,22_J,20-Apr-02,2.40E-02,20,1.01E-01,10
1322,23_J,20-Apr-02,2.00E-02,19,8.80E-02,9
1323,24_J,20-Apr-02,1.50E-02,25,8.80E-02,10
